2019-05-06 11:15:34.288977, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000165] is in the window to link with internal bag_id [000022623], scan state: NotScanned, travel dist: 1617.00, beam_diff: 27.00 entry pos: 449900.00
2019-05-06 11:16:02.655957, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000015f] is in the window to link with internal bag_id [000022624], scan state: NotScanned, travel dist: 1628.00, beam_diff: 38.00 entry pos: 450888.00
2019-05-06 11:17:12.756253, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000164] is in the window to link with internal bag_id [000022625], scan state: NotScanned, travel dist: 1666.00, beam_diff: 76.00 entry pos: 452403.00
2019-05-06 11:17:20.977306, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000017a] is in the window to link with internal bag_id [000022626], scan state: NotScanned, travel dist: 1669.00, beam_diff: 79.00 entry pos: 453630.00
2019-05-06 11:17:42.761108, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000015d] is in the window to link with internal bag_id [000022627], scan state: NotScanned, travel dist: 1654.00, beam_diff: 64.00 entry pos: 454719.00
2019-05-06 11:18:38.348200, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000177] is in the window to link with internal bag_id [000022628], scan state: NotScanned, travel dist: 1636.00, beam_diff: 46.00 entry pos: 455862.00
2019-05-06 11:19:01.088924, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000171] is in the window to link with internal bag_id [000022629], scan state: NotScanned, travel dist: 1634.00, beam_diff: 44.00 entry pos: 456907.00
2019-05-06 11:19:36.241947, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000017b] is in the window to link with internal bag_id [000022630], scan state: NotScanned, travel dist: 1664.00, beam_diff: 74.00 entry pos: 458015.00
2019-05-06 11:21:25.363262, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000151] is in the window to link with internal bag_id [000022633], scan state: NotScanned, travel dist: 1661.00, beam_diff: 71.00 entry pos: 461550.00
2019-05-06 11:22:18.914000, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000146] is in the window to link with internal bag_id [000022634], scan state: NotScanned, travel dist: 1636.00, beam_diff: 46.00 entry pos: 462661.00
2019-05-06 11:22:25.880768, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000016a] is in the window to link with internal bag_id [000022635], scan state: NotScanned, travel dist: 1633.00, beam_diff: 43.00 entry pos: 463706.00
2019-05-06 11:22:46.331389, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000144] is in the window to link with internal bag_id [000022636], scan state: NotScanned, travel dist: 1642.00, beam_diff: 52.00 entry pos: 464744.00
2019-05-06 11:23:22.062757, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000149] is in the window to link with internal bag_id [000022637], scan state: NotScanned, travel dist: 1669.00, beam_diff: 79.00 entry pos: 465680.00
2019-05-06 11:23:43.584017, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000016e] is in the window to link with internal bag_id [000022638], scan state: NotScanned, travel dist: 1689.00, beam_diff: 99.00 entry pos: 466693.00
2019-05-06 11:24:13.174156, INFO, BHS_INTF, LinkRequestCommand: bag [0000000000000160] is in the window to link with internal bag_id [000022639], scan state: NotScanned, travel dist: 1671.00, beam_diff: 81.00 entry pos: 467709.00
2019-05-06 11:24:45.303333, INFO, BHS_INTF, LinkRequestCommand: bag [000000000000016d] is in the window to link with internal bag_id [000022640], scan state: NotScanned, travel dist: 1669.00, beam_diff: 79.00 entry pos: 468843.00
